Name,Location,Qualifying,Years Running,Opening Date,Early Deadline,Regular Deadline,Final Deadline,Style,Max Short Runtime,Min Feature Runtime,Genre,Filmmaker Type,Budget,File Type: DCP,File Type: Online Screener,City Premiere Necessary,State Premiere Necessary,National Premiere Necessary,World Premiere Necessary,Completed After Date,Completed By Date,Festival Focus,Length
NewFilmmakers Los Angeles (NFMLA),"Los Angeles, CA",,15,2-Jan-24,31-Mar-24,30-Sep-24,31-Dec-24,"Narrative, Documentary, Animation, Experimental, ",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time  Filmmakers Filmmakers, Student",,Yes,Yes,Yes,Yes,,Yes,1-Jan-23,,New Filmmakers ,"Short, Feature"
Hollywood Reel Film Festival,"Hollywood, CA",,26,21-Mar-24,14-Jun-24,2-Aug-24,10-Jan-25,"Narrative, Documentary, Animation, Experimental, Episodic, New Media",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time  Filmmakers Filmmakers,  LGBTQIA+, ",,Yes,Yes,Yes,Yes,Yes,Yes,1-Jan-24,12-Feb-25,,"Short, Feature"
Santa Monica Film Festival,"Santa Monica, CA",,19,6-Feb-24,26-Feb-24,10-Jun-24,4-Dec-24,"Narrative, Documentary, Episodic",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery", First Time  Filmmakers Filmmakers,,Yes,Yes,,,Yes,Yes,,15-Dec-24,,"Short, Feature"
Malibu Film Festival,"Malibu, CA, United States",,25,24-May-25,10-Jun-24,2-Sep-24,25-Nov-24,"Narrative, Documentary, Experimental, Episodic, Animation, New Media",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,<1000000,,Yes,,,,Yes,,,,"Short, Feature"
American Documentary And Animation Festival,"Palm Springs, CA, United States",Academy Award,14,25-Mar-24,14-Jun-24,11-Oct-24,13-Dec-24,"Documentary, Animation",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,<50000,Yes,,,,,,,,"Documentary, Animation ","Short, Feature"
Lady Filmmakers Festival,"Beverly Hills, CA, United States",,16,4-Aug-24,15-Sep-24,13-Mar-25,23-Jul-25,"Narrative, Documentary, Experimental, Episodic",50,50,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Female, DEI ",,Yes,,,,,,,,Female,"Short, Feature"
Utah Film Festival,"Vineyard, UT, United States",,14,25-Feb-24,"March 1, 2024 (Early Bird)",1-Sep-24,1-Nov-24,"Narrative, Documentary, Animation, Experimental, Episodic, Web Series",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Women Filmmaker, LGBTQ+, BIPOC, Student",,Yes,,,,Yes,Yes,,,,"Short, Feature"
Sedona International Film Festival,"Sedona, AZ, United States",,30,1-May-24,15-Aug-24,20-Sep-24,20-Nov-24,"Narrative, Documentary, Animation",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,,,,,,,,,"Short, Feature"
Nantucket Film Festival,"Nantucket, MA, United States",,29,19-Sep-24,7-Nov-24,9-Jan-25,13-Feb-25,"Narrative, Documentary, Animation",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,,,,Yes,,,,,"Short, Feature"
New York City Independent Film Festival,"New York, NY, United States",,17,15-Mar-24,31-Aug-24,30-Nov-24,15-Feb-25,"Narrative, Documentary, Animation, Experimental, Music Videos",10,71,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,,,,,,1-Jan-20,,,"Short, Feature"
New York International Childrenâ€™s Film Festival,"New York, NY, United States",Academy Award ,27,15-May-24,15-Jun-24,15-Oct-24,15-Nov-24,"Narrative, Animation, Documentary",40,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,,,,Yes,,1-Jan-25,,"Children, International  ","Short, Feature"
Boulder International Film Festival,"Boulder, CO, United States",,21,15-Jun-24,16-Aug-24,12-Sep-24,8-Nov-24,"Narrative, Documentary",>40,< 40,Adventure,,,Yes,,,,,,1-May-23,,International ,"Short, Feature"
New Media Film Festival,"Los Angeles, CA, United States",,16,7-Apr-24,4-Aug-24,6-Dec-24,6-Mar-25,"Animation, New Media, Documentary, Music Video, Web Series ",,< 30 ,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, First Time Filmmakers,  LGBTQ+, BIPOC, ",,Yes,Yes,Yes,Yes,Yes,Yes,,,"New Media, Experimental","Short, Feature"
Manhattan Short Film Festival,"New York, NY, United States",Academy Award ,28,19-Sep-24,31-Dec-24,31-Jul-25,25-Aug-25,Music Video,20,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Short
Marthas Vineyard African American Film Festival,"Martha's Vineyard, MA, United States",Academy Award,23,7-Sep-24,,31-Mar-25,30-Apr-25,"Narrative, Documentary, Web Series",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery, African-American Stories, ",BIPOC,,Yes,Yes,Yes,Yes,Yes,Yes,1-Jan-23,,African American ,Short
Arizona Short Film Festival,"Tucson, AZ, United States",,5,1-Feb-24,22-Mar-24,15-Jul-24,4-Oct-24,"Narrative, Documentary, Experimental",45,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery Genres",,,No,Yes,No,No,No,No,1-Jan-23,,Diversity ,Short
Bentonville Film Festival,"Bentonville, Arkansas, United States",,11,16-Jun-25,22-Dec-24,31-Jan-25,21-Mar-25,"Narrative, Documentary, Episodic",30,50,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","BIPOC, AAPI,  LGBTQIA+,Female, DIsability ",,Yes,Yes,Yes,Yes,Yes,Yes,,,,"Short, Feature"
Dallas Independent Film Festival ,"Dallas, TX, United States ",,5,1-Jun-25,1-Mar-24,3-May-24,2-Jan-25,"Documentary, Music Video, Narrative, Animation ",45,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,,,,,,,,,,"Feature, Short"
San Francisco International Film Awards,"San Francisco, California, United States",,2,5-Jan-24,28-Feb-24,10-Sep-24,8-Oct-24,"Narratve, Documentary ",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Female ,,,,,,,,,,International,"Feature, Short"
Phoenix Film Festival,"Phoenix, Arizona, United States",,25,27-Mar-25,26-Jul-24,2-Oct-24,5-Dec-24,Documentary ,,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","African American, AAPI, Native American, Latinx,  LGBTQIA+",,Yes,,,,Yes,,,,,"Feature, Short"
San Francisco Another Hole in the Head Film Festival,"San Francisco, California, United States",,21,5-Jan-24,28-Feb-24,10-Sep-24,8-Oct-24,"Documentary, Experimental",,,"Science Fiction, Fantasy, Horror, AI, Western",,,Yes,,,,,,,,,"Feature, Short"
Oakland Short Film Festival,"Oakland, CA, United States",,5,23-May-24,29-Feb-24,10-Apr-24,12-Jan-25,"Narrative, Documentary, Animation",45,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time Filmmakers, DEI",,Yes,Yes,,,,,31-Dec-22,,,Short
Coney Island Film Festival,"Brooklyn, New York, United States",,25,2-May-25,6-Sep-24,8-v-2024,14-Feb-25,"Documentary, Music Video, Experimental, Animation",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,,,,,,,,,,"Feature, Short"
Manhattan Film Festival,"New York, NY, United States",,19,12-Jun-25,27-Sep-24,20-Dec-24,7-Apr-25,"Narrative, Documentary, Web Series, New Media, Episodic",45,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time Filmmakers, Student",,Yes,Yes,,,,,,,,"Short, Feature"
Atlanta Docufest,"Atlanta, Georgia, United States",,20,22-Mar-25,30-Apr-24,31-Jul-24,22-Jan-25,Documentary,> 45,< 45,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery, Social Issue, Foreign, Environmental, Sports",Atlanta Filmmaker,,,Yes,Yes,,,,,,Documentaries ,"Feature, Short"
Richmond International Film Festival,"Richmond, Virginia, United States",,14,23-Sep-25,21-Sep-24,15-Oct-24,10-Mar-25,"Narrative, Documentary, Experimental, Animation, Episodic, Music Video",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,,,,,Yes,1-Mar-24,,International,"Feature, Short"
Los Angeles LiftOff Film Festival,"Los Angeles, California, United States",,15,1-Aug-25,2-Oct-24,2-Apr-25,2-Jul-25,"Narrative, Documentary",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,,,,,,,,,"Feature, Short"
 Short Fest,"Los Angeles, California, United States",,7,9-Sep-24,15-Sep-24,7-Oct-24,7-Oct-25,"Experimental, Documentary, Animation",60,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,,,,,,,,,,Short
Julien Dubuque International Film Festival,"Dubuque, Iowa, United States",,14,15-Jun-24,23-Aug-24,16-Dec-24,17-Jan-25,"Documentary, Narrative","2, 20","20, 49 ","Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,,,Yes,,,Yes,1-Jan-23,,,"Feature, Short"
Boston Short Film Festival,"Boston, MA, United States",,10,15-Jul-25,27-Jul-24,27-Feb-25,27-Mar-25,"Narrative, Documentary, animation, Experimental",30,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Boston Filmmakers, LGBTQIA+",,Yes,Yes,Yes,Yes,Yes,Yes,,,. ,Short
Atlanta Shortsfest,"Atlanta, Georgia, United States",,16,17-Jul-24,21-Aug-24,20-Dec-24,15-May-25,"Narrative, Documentary, Experimental, Animation ",45,,"Comedy, Horror, Science Fiction, Erotic, Fantasy, Drama, Thriller, Action, Adventure, Cult, Foreign ","Student, Atlanta Filmmaker ",,,,,,,,,,,Short
Boston International Film Festival,"Boston, MA, United States",,23,10-Apr-25,31-Aug-24,27-Sep-24,30-Nov-24,"Narrative, Documentary, Animation, Experimental",> 45 , < 45,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","First Time Filmmakers, International, Independent  ",,Yes,Yes,,,,,,,International ,"Feature, Short"
International Christian Film & Music Fest,"Orlando, Florida, United States",,13,22-May-24,31-Aug-24,15-Dec-24,1-Feb-25,"Documentary, Animation",,,"Family, Christian",,,,,,,,,,,"Faith, International ","Feature, Short"
Chattaoga Film Festival,"Chattaoga, Tennessee, United States",,11,1-Jul-24,1-Oct-24,1-Dec-24,1-Feb-25,"Narrative, Experimental",30,,"Horror, Thriller, Science Fiction ","Tennessee Filmmakers, Student ",,Yes,,,,,,,,,"Feature, Short"
