Name,Location,Qualifying,Years Running,Opening Date,Early Deadline,Regular Deadline,Final Deadline,Style,Max Short Runtime,Min Feature Runtime,Genre,Filmmaker Type,Budget,File Type: DCP,File Type: Online Screener,City Premiere Necessary,State Premiere Necessary,National Premiere Necessary,World Premiere Necessary,Completed After Date,Completed By Date,Festival Focus,Length
San Luis Obispo International Film Festival,"San Luis Obispo, California, United States",,30,24-Apr-25,15-Aug-24,31-Oct-24,30-Dec-24,"Narrative, Documentary, Animation, Music Video",40,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student,  San Luis Obispo Filmmakers",,Yes,,,,,,1-Jul-23,,International ,"Feature, Short"
Santa Fe Film Festival,"Santa Fe, New Mexico, United States",,24,4-Aug-24,30-Sep-24,31-Oct-24,31-Dec-24,Animation,,,"Action, Western, Drama","Student, Santa Fe Filmmakers",,Yes,,,,,,,,,"Feature, Short"
Venice Shorts,"Venice, California, United States",,5,18-Sep-24,9/30/24,23-Oct-24,27-Dec-24,"Narrative, Experimental",50,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student,  LGBTQIA+",,,Yes,Yes,Yes,,,,,,Short
New Hope Film Festival,"New Hope, Pennsylvania, United States",,15,1-May-24,28-Jun-24,31-Jan-25,25-Apr-25,"Narrative, Documentary",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, Pennsylvania Filmmkaer",,Yes,Yes,,,,,,,Faith,"Short, Feature"
USA Film Festival,"Dallas, TX, United States ",Canadian Screen Award ,55,7-Jun-24,15-Dec-24,31-Dec-24,28-Feb-25,"Narrative, Experimental",>60,<60,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, Texas Filmmaker",,Yes,Yes,,,,,1-Jan-24,15-Feb-25,,"Short, Feature"
Faith in Film Festival,"Tucson, Arizona, United States",,9,13-May-24,20-Jun-24,3-Oct-24,11-Apr-25,"Narrative, Documentary, Animation",40,110,Religious ,"Student, Christian",,,Yes,,,,,,,Faith ,"Short, Feature"
Los Angeles Comedy Film Festival,"Los Angeles, CA, United States",,24,11-Aug-24,13-Sep-24,11-Oct-24,13-Dec-24,"Narrative, Animation, Episodic",30,,"Comedy, Dark Comedy, Romantic Comedy, Buddy Comedy, Black Comedy, Animated Comedy",Student,,,Yes,,,,,,5-Feb-25,Comedy ,"Short, Feature"
Video Art and Experimental Film Festival,"New York, NY, United States",,14,2-Feb-24,5-Mar-24,23-Aug-24,6-Oct-24,"Experimental, Narrative, Animation, Music Video",20,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, Female ",,,Yes,,,,,1-Jan-22,11-Oct-24,Experimental ,Short
Independent Shorts Awards,"Los Angeles, California, United States",,7,28-Aug-24,9-Sep-24,30-Sep-24,6-Oct-24,"Narrative, Experimental, Animation",60,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, Female",,Yes,Yes,,,,,,11-Oct-24,,Short
Garden State Film Festival,"Asbury Park, NJ, United States",,23,27-Mar-25,1-Jun-24,1-Sep-24,1-Dec-24,"Documentary, Animation, Music Video, Web Series",40,50,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student, New Jersey Filmmakers, Underrepresented Filmmakers",,,Yes,Yes,Yes,Yes,Yes,,,,"Feature, Short"
New York LiftOff Film Festival,"New York, New York, United States",,15,3-Jun-24,16-Oct-24,2-Apr-25,3-Jun-25,"Animation, Narrative",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","New York Filmmakers, First Time  Filmmaker",,,Yes,Yes,Yes,,,,,,"Feature, Short"
Woods Hole Film Festival,"Woods Hole, Massachusetts, United States",,34,16-Sep-24,1-Dec-24,1-Mar-25,19-Apr-25,"Narrative, Documentary, Animation",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Massachusetts Filmmakers, First Time  Filmmaker",,,,,,,,,,,"Feature, Short"
Key West Film Festival,"Key West, Florida, United States",,12,30-Dec-23,31-Jan-24,31-Jul-24,30-Sep-24,"Narrative, Documentary, Animation",59,"60,180","Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Florida Filmmakers, First Time  Filmmaker, Student",,,,,,,,1-Jan-22,,,"Feature, Short"
Atlanta Underground Film Festival,"Atlanta, Georgia, United States",,22,2-Sep-24,23-Oct-24,24-Mar-25,5-Jul-25,"Narrative, Documentary, Experimental, Animation",59,"60,180","Comedy, Drama, Horror, Science Fiction, Thriller, Action,","Georgia Filmmakers, First Time  Filmmaker, Student",,,,,,,,,,,"Feature, Short"
Hollywood Comedy Shorts,"Glendale, California, United States",,9,26-Apr-24,1-Dec-24,12-Jan-25,8-Mar-25,"Web Series, Episodic",59,,"Comedy, Dark Comedy, Rom Com, Spoof, Alternative Comedy, Cringe Comedy, Horror Comedy",Student,,Yes,,,,,,,,Comedy,Short
24th EDITION Miami Short Film Festival,"Miami, FL, United States",,24,7-Nov-24,15-Nov-24,5-Sep-24,31-Aug-24,"Narrative, Documentary, Animation, Experimental",30,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery genres","Emerging, International",,Yes,Yes,,,,,1-Jan-23,,,Short
San Antonio Film Festival,"San Antonio, Texas, United States",,31,18-Aug-24,4-Oct-24,6-Dec-24,25-Apr-25,"Narrative, Documentary, Experimental, Animation, Music Video",40,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Texas Filmmakers, Student",,Yes,Yes,,,,,,,Food Films,"Feature, Short"
Golden State Film Festival,"Los Angeles, California, United States",,8,20-Feb-25,2-May-24,3-Dec-24,18-Feb-25,"Narrative, Experimental, Web Series",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,Yes,,,,,,,,"Feature, Short"
Sonoma International Film Festival,"Soma, California, United States",,28,1-Jul-24,15-Sep-24,15-Oct-24,15-Dec-24,"Narrative, Documentary, animation",40,40,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Student,,,Yes,,,,,,,International,"Feature, Short"
Dam Short Film Festival,"Boulder City, Nevada, United States",,20,1-Mar-24,30-Jun-24,30-Sep-24,31-Oct-24,"Narrative, Documentary, Animation",,,Science Fiction,"Student, Nevada Filmmaker, International",,,,,,,,,,,Short
"Los Angeles Television, Script, and Film Festival","Los Angeles, California, United States",,10,21-Oct-23,30-Dec-23,30-Sep-24,30-Sep-24,"Narrative, Documentary, Animation, Web Series",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,,Yes,,,,,,,,"Feature, Short"
Lighthouse International Film Festival,"Long Beach Island, New Jersey, United States",,17,4-Jun-25,22-Oct-24,19-Dec-24,1-Apr-25,"Narrative, Documentary, Animation, Episodic, Web Series",45,,"Horror, Science Fiction, Fantasy, Social Issues",Student,,Yes,Yes,,,,,1-Jan-24,,International,"Feature, Short"
"Los Angeles Television, Script, and Film Festival","Los Angeles, California, United States",,10,21-Oct-23,30-Dec-23,30-Sep-24,30-Sep-24,"Narrative, Documentary, Animation, Web Series, Music Video",,,"Comedy, Drama, Science Fiction, Horror, Western","Student,  Los Angeles Filmmaker ",,Yes,Yes,,,,,,,,"Feature, Short"
LA Women Film Awards,"Los Angeles, California, United States",,4,1-Sep-24,14-Sep-24,11-Oct-24,11-Oct-24,"Narrative, Documentary, Web Series, Animation, Music Video",50,50,"Comedy, Horror, Thriller, Science Fiction","Female, Los Angeles Filmmaker,  Student, First Time  Filmmakers, Female, LGBTQIA+",,Yes,Yes,Yes,,,,,,Female ,"Feature, Short"
Sebastopol Documentary Film Festival,"Sebastopol, California, United States",,17,1-Jun-24,15-Jul-24,31-Aug-24,30-Sep-24,Documentary,< 40 ,> 40 ,"Social Justice, Journalism","International, Sebastopol Filmmakers",,Yes,Yes,Yes,,,,,,Documentary,"Feature, Short"
Brooklyn International Short Film Festival,"Brooklyn, New York, United States",,2,5-Aug-24,9-Aug-24,23-Sep-24,18-Oct-24,"Experimental, Music Video, Web Series",40,,"Drama, Comedy, Western"," Brooklyn Filmmakers, Student, First-Time Filmmakers, Female",,Yes,Yes,Yes,,,,,,International,Short
The New York Film Festival,"New York City, NY, United States",Academy Award ,4,3-Aug-24,31-Aug-24,31-May-25,31-Jul-25,"Experimental, Music Video, Documentary ",40,50,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","New York Filmmakers, Student, First-Time Filmmakers",,Yes,Yes,Yes,,,,,,,"Feature, Short"
Imagine This Women's International Film Festival,"New York, NY, United States",,10,18-Sep-25,27-Jan-25,24-Mar-25,7-Jul-25,"Narrative, Documentary, Animation, TV Pilots, Web Series",40 < ,40 > ,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Non-binary, Female, Non-binary, BIPOC, LGBTQIA+",,Yes,Yes,,,,,,,Female,"Feature, Short"
Omaha Film Festival,"Omaha, Nebraska, United States",,19,31-May-24,8-Jul-24,2-Sep-24,18-Dec-24,"Narrative, Documentary, Animated, Episodic",25,50,"Science Fiction, Horror, Thriller, Drama","Nebraska Filmmakers, Students",,Yes,Yes,,,,,1-Aug-23,,,"Short, Feature"
Austin Under the Stars Film Festival,"Austin, Texas, United States",,8,13-Sep-25,17-Sep-24,12-Dec-24,22-May-25,"Music Video, Web Series, Episodic, Animation, Documentary ",40,,"Comedy, Horror, Science Fiction","Student, Female Filmmaker, Disabilities",,Yes,Yes,,,,,,,,"Short, Feature"
Los Angeles  Film Festival,"Los Angeles, CA, United States",,20,5-Dec-24,19-Apr-24,24-May-24,2-Aug-24,"Episodic, Web Series, Animation, Music Videos",30,,"Comedy, Horror, Drama, Animation, Music Videos, Web Series","Student, Female Filmmaker",,Yes,Yes,,,,,,,,"Short, Feature"
Chicago International REEL Shorts Festival,"Chicago, Illiis, United States",,21,15-Dec-24,12-Feb-24,12-Jun-24,6-Oct-24,"Episodic, Web Series, Documentary, Animation",40,,"Comedy, Drama",Student,,,Yes,,,,,,,International,"Feature, Short"
SR Socially Relevant Film Festival,"New York, NY, United States",,12,16-Mar-25,14-Jun-24,14-Sep-24,14-Dec-24,"Documentary, Narrative, Animation",,,"Animation, Documentary","Student, Loal New York Filmmakers ",,Yes,Yes,Yes,Yes,Yes,Yes,1-Jan-22,,Social Impact,"Feature, Short"
Boston Underground Film Festival,"Cambridge, MA, United States",,25,19-Mar-25,15-Jul-24,30-Sep-24,5-Jan-25,"Narrative, Documentary, Music Video, Medium Length, Animation",20,60,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,Yes,,,,,,, ,"Feature, Short"
Awareness Film Festival,"Los Angeles, CA, United States",,16,14-Oct-24,29-Jan-25,18-Mar-25,21-Jul-25,"Documentary, Narrative, Animation",,,,Student,,Yes,Yes,,,,,,,"Ecological, Political, Health Well-being, Spirit","Feature, Short"
Chicago Film Festival,"Chicago, IL, United States",No,3,16-Aug-24,30-Aug-24,25-Oct-24,31-Jan-25,"Narrative, Documentary, Animation, Experimental",< 50 ,,"Comedy, Horror, Thriller",Student,,,Yes,,,,,2020,,"Women Emancipation, Human Rights",Short
Overlook Film Festival,"New Orleans, LA, United States",No,8,13-Sep-24,27-Sep-24,29-Nov-24,24-Jan-25,,,,Horror,,,Yes,,,,,,24-Jan,,Horror,"Feature, Short"
MidWest WeirdFest,"Eau Claire, WI, United States",No,9,17-Mar-24,31-Jul-24,31-Oct-24,17-Jan-25,"Narrative, Documentary, Animated, Experimental",,,"Horror, Sci-Fi, Fantasy, Thriller",,,Yes,Yes,,,,,,,"Horror, Thriller, Fantasy ","Feature, Short"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Big Apple Film Festival and Screenplay Competition (LOS ANGELES EDITION),,,,,,,,,,,,,,,,,,,,,,,
A Night of Horror International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Renegade Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Austin Spotlight Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Cinematography AWARDS (LACA),,,,,,,,,,,,,,,,,,,,,,,
LA International Horror Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Georgia Shorts Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Actors On Screen Festival,,,,,,,,,,,,,,,,,,,,,,,
Arizona International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles International Underground Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Oregon Short Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Environmental Film Festival in the Nationâ€™s Capital,,,,,,,,,,,,,,,,,,,,,,,
Austin Lift-Off Film Festival,,,,,,,,,,,,,,,,,,,,,,,
LAWEBFEST Since 2009,,,,,,,,,,,,,,,,,,,,,,,
Seattle Indie Film Festival,,,,,,,,,,,,,,,,,,,,,,,
LA Indie Horror Fest,,,,,,,,,,,,,,,,,,,,,,,
WRPN Women's International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Houston Comedy Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Short Film & Script Festival,,,,,,,,,,,,,,,,,,,,,,,
Global Film Festival Awards,,,,,,,,,,,,,,,,,,,,,,,
Christian Worldview Film Festival & Filmmakers Guild,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Movie Awards,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Film Festival StorytelLA,,,,,,,,,,,,,,,,,,,,,,,
National Black Film Festival,,,,,,,,,,,,,,,,,,,,,,,
B!tchFest Film Festival & Screenplay Contest,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Black Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Maryland International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES WOMEN in FILM FESTIVAL,,,,,,,,,,,,,,,,,,,,,,,
The Women's Independent Film & Television Festival,,,,,,,,,,,,,,,,,,,,,,,
Justice Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Nature Without Borders International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Frozen Film Festival (SFFFF),,,,,,,,,,,,,,,,,,,,,,,
Through Women's Eyes International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
DOCUTAH International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Maine International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Nevada City Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Beaufort International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
New York Indian Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Salem Horror Fest,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Crime and Horror Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Panic Fest,,,,,,,,,,,,,,,,,,,,,,,
Orlando International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Asian Film Awards,,,,,,,,,,,,,,,,,,,,,,,
New York Animation Film Awards (NYAFA),,,,,,,,,,,,,,,,,,,,,,,
Utah Dance Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Washington DC International Cinema Festival,,,,,,,,,,,,,,,,,,,,,,,
Bare Bones International Film & Music Festival,,,,,,,,,,,,,,,,,,,,,,,
The Hamilton New York International Film Festival,,,,,,,,,,,,,,,,,,,,,,,
Religion Faith International Film Festival,,,,,,,,,,,,,,,,,,,,,,,